Channel,Cs137,A,B,C
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,1
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,1
42,0,0,0,0
43,0,0,0,1
44,0,0,0,0
45,1,0,0,1
46,0,0,0,3
47,0,1,0,1
48,2,0,0,1
49,1,0,0,5
50,1,0,0,3
51,1,0,0,1
52,1,0,0,3
53,0,0,0,4
54,0,0,0,5
55,1,0,0,10
56,2,0,0,4
57,1,0,0,6
58,2,0,0,8
59,8,0,0,10
60,5,0,0,9
61,6,0,0,12
62,13,0,0,21
63,7,1,0,16
64,8,0,0,19
65,12,1,0,30
66,17,0,0,31
67,16,1,0,34
68,21,1,0,41
69,30,0,0,62
70,186,13,3,494
71,776,145,58,1991
72,1112,175,66,2945
73,1199,178,87,3062
74,1168,206,78,3110
75,1158,213,70,3152
76,1128,183,84,3161
77,1149,219,89,3190
78,1130,205,79,3266
79,1011,188,102,3381
80,988,216,87,3321
81,962,209,92,3334
82,1048,188,86,3242
83,1033,225,75,3531
84,956,200,75,3318
85,981,236,90,3397
86,918,198,93,3389
87,999,217,77,3340
88,1024,223,95,3463
89,933,204,115,3322
90,879,244,92,3434
91,971,205,78,3421
92,925,225,73,3313
93,939,225,96,3415
94,901,194,89,3302
95,939,224,76,3298
96,916,197,80,3229
97,910,216,79,3219
98,860,194,62,3174
99,905,193,60,3128
100,864,199,82,3005
101,859,189,87,3083
102,851,205,75,3118
103,799,198,84,3083
104,816,162,58,3035
105,812,206,73,2946
106,785,193,74,2915
107,811,179,92,2997
108,774,191,62,2862
109,811,181,70,2791
110,729,170,69,2905
111,805,167,66,2798
112,802,163,75,2820
113,786,181,79,2803
114,752,177,69,2788
115,819,185,65,2746
116,756,166,74,2721
117,736,189,61,2736
118,774,170,63,2733
119,775,164,72,2709
120,681,189,66,2658
121,736,176,59,2659
122,708,157,66,2672
123,714,150,69,2699
124,734,179,70,2638
125,698,167,55,2529
126,746,154,68,2686
127,754,161,70,2602
128,716,151,67,2605
129,747,152,51,2649
130,710,156,64,2574
131,709,152,65,2603
132,690,160,63,2777
133,708,183,74,2614
134,719,167,46,2657
135,678,141,69,2681
136,709,157,57,2554
137,712,185,70,2665
138,727,156,74,2650
139,683,176,78,2560
140,696,144,71,2536
141,702,167,50,2550
142,746,173,67,2603
143,655,174,66,2478
144,653,192,67,2605
145,737,144,55,2612
146,711,154,55,2650
147,728,193,60,2561
148,744,162,58,2562
149,730,177,65,2578
150,749,186,72,2614
151,715,158,55,2640
152,713,165,56,2543
153,688,167,60,2582
154,722,150,64,2583
155,707,147,65,2673
156,700,143,63,2572
157,726,163,57,2626
158,727,181,64,2570
159,741,150,71,2631
160,728,158,58,2564
161,732,154,71,2568
162,686,161,71,2592
163,702,174,65,2688
164,681,146,65,2566
165,729,150,70,2656
166,694,141,65,2648
167,720,156,71,2699
168,698,150,53,2668
169,712,189,67,2706
170,680,144,57,2599
171,703,157,54,2694
172,752,157,59,2635
173,764,171,59,2765
174,738,148,75,2687
175,724,163,67,2692
176,735,160,71,2737
177,728,176,73,2729
178,749,151,79,2781
179,758,164,63,2784
180,715,189,72,2776
181,717,187,52,2724
182,754,153,61,2774
183,763,179,63,2755
184,682,190,62,2908
185,729,164,64,2886
186,711,166,66,2935
187,735,163,56,2892
188,737,145,72,2936
189,753,164,60,3039
190,753,166,71,3053
191,739,180,52,2976
192,735,169,67,2992
193,744,153,56,3151
194,769,156,62,3127
195,794,176,54,3184
196,748,167,62,3060
197,759,151,60,3138
198,745,156,55,3154
199,811,177,63,3211
200,769,155,67,3161
201,821,169,59,3289
202,809,154,53,3228
203,805,159,61,3404
204,813,155,66,3266
205,833,190,69,3353
206,850,167,62,3331
207,809,169,54,3346
208,849,162,68,3482
209,889,176,73,3505
210,882,176,71,3522
211,890,178,68,3396
212,889,165,82,3515
213,880,192,49,3586
214,942,167,75,3609
215,945,171,69,3535
216,907,161,60,3675
217,850,194,79,3583
218,921,163,75,3516
219,939,163,76,3562
220,928,180,86,3554
221,972,174,65,3591
222,989,214,74,3517
223,941,179,80,3691
224,986,163,84,3577
225,1001,180,86,3567
226,983,188,73,3561
227,931,187,77,3510
228,1005,196,83,3445
229,986,162,66,3669
230,995,181,76,3546
231,1015,177,78,3475
232,1119,210,78,3456
233,1039,193,79,3488
234,1034,194,75,3448
235,1074,186,89,3532
236,1042,193,84,3473
237,1036,188,85,3446
238,1030,196,86,3481
239,1041,201,87,3420
240,1071,185,95,3361
241,955,197,90,3475
242,1086,189,95,3333
243,1026,191,81,3410
244,982,219,81,3358
245,1041,195,90,3333
246,1032,237,64,3323
247,999,198,88,3358
248,1031,217,97,3419
249,963,227,86,3488
250,1006,220,69,3333
251,1026,206,91,3407
252,967,221,87,3321
253,1023,247,84,3223
254,997,247,93,3278
255,922,214,79,3183
256,1024,220,78,3276
257,950,220,78,3213
258,953,202,92,3218
259,923,224,96,3237
260,918,232,91,3255
261,973,257,92,3151
262,915,213,85,3183
263,950,265,82,3109
264,937,240,72,3105
265,940,220,86,3197
266,938,226,73,3204
267,931,197,80,3131
268,957,229,76,3004
269,917,210,83,3156
270,861,228,64,2985
271,913,244,83,3132
272,908,244,84,2946
273,881,218,82,3032
274,972,224,87,2978
275,892,237,79,2932
276,866,249,75,3056
277,908,248,72,3019
278,934,217,78,2958
279,900,242,87,2963
280,846,214,64,2916
281,889,244,83,2952
282,835,228,96,3025
283,891,215,70,2900
284,790,228,83,2845
285,869,223,69,2880
286,857,222,79,2899
287,830,251,83,2871
288,866,203,77,2835
289,801,227,60,2785
290,826,210,70,2748
291,770,221,65,2767
292,792,206,73,2626
293,777,231,79,2753
294,767,214,76,2711
295,787,230,81,2803
296,755,227,71,2674
297,818,197,54,2695
298,802,222,54,2590
299,738,226,69,2646
300,804,201,69,2655
301,810,220,64,2660
302,714,216,69,2646
303,758,219,56,2665
304,752,215,66,2680
305,808,226,72,2635
306,686,212,62,2588
307,755,201,56,2677
308,779,189,64,2567
309,728,209,72,2580
310,766,214,78,2601
311,738,186,54,2541
312,728,187,83,2579
313,724,193,50,2602
314,749,204,56,2536
315,727,201,53,2587
316,716,169,72,2597
317,687,184,45,2554
318,724,189,63,2428
319,688,195,55,2515
320,720,181,54,2508
321,715,202,68,2485
322,689,177,50,2439
323,733,178,54,2566
324,669,176,72,2392
325,701,198,60,2545
326,647,187,65,2460
327,679,162,69,2523
328,656,159,55,2472
329,707,206,57,2446
330,685,158,45,2463
331,661,174,48,2391
332,681,190,56,2439
333,670,184,68,2460
334,687,153,50,2443
335,661,164,63,2404
336,651,169,54,2413
337,652,170,57,2435
338,719,168,46,2352
339,652,186,46,2325
340,640,153,48,2284
341,653,169,39,2352
342,628,173,57,2362
343,705,174,41,2443
344,627,160,56,2396
345,641,159,69,2397
346,640,171,57,2484
347,664,147,52,2364
348,638,165,58,2303
349,647,155,56,2429
350,720,166,60,2347
351,606,152,63,2366
352,656,152,52,2374
353,649,162,39,2471
354,647,154,50,2283
355,667,156,43,2382
356,605,162,52,2247
357,615,165,60,2323
358,644,159,57,2400
359,621,185,44,2354
360,635,148,49,2389
361,642,146,48,2268
362,634,171,41,2321
363,641,162,52,2344
364,628,155,62,2245
365,611,169,53,2316
366,610,144,41,2304
367,593,145,59,2296
368,646,137,57,2339
369,623,135,58,2193
370,566,148,37,2230
371,612,154,39,2237
372,597,139,52,2218
373,602,152,46,2330
374,576,162,65,2211
375,669,167,41,2221
376,589,149,48,2136
377,644,155,38,2247
378,586,143,54,2183
379,606,134,41,2237
380,585,151,46,2055
381,652,137,42,2164
382,576,160,48,2070
383,600,138,61,2151
384,604,169,44,2068
385,633,142,44,1967
386,577,160,47,1891
387,612,158,49,1973
388,530,151,43,2038
389,601,130,57,1956
390,564,140,54,1959
