#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
1	Split	00:00:01.322	00:00:01.322	Tue, Mar 1, 2022 at 10:41:55.345
2	Split	00:00:00.784	00:00:02.106	Tue, Mar 1, 2022 at 10:41:56.129
3	Split	00:00:00.849	00:00:02.955	Tue, Mar 1, 2022 at 10:41:56.978
4	Split	00:00:00.650	00:00:03.605	Tue, Mar 1, 2022 at 10:41:57.628
5	Split	00:00:00.695	00:00:04.300	Tue, Mar 1, 2022 at 10:41:58.323
6	Split	00:00:00.740	00:00:05.040	Tue, Mar 1, 2022 at 10:41:59.063
7	Split	00:00:00.694	00:00:05.734	Tue, Mar 1, 2022 at 10:41:59.757
8	Split	00:00:00.494	00:00:06.228	Tue, Mar 1, 2022 at 10:42:00.251
9	Split	00:00:00.774	00:00:07.002	Tue, Mar 1, 2022 at 10:42:01.025
10	Split	00:00:00.753	00:00:07.755	Tue, Mar 1, 2022 at 10:42:01.778
11	Split	00:00:00.728	00:00:08.483	Tue, Mar 1, 2022 at 10:42:02.506
12	Split	00:00:00.406	00:00:08.889	Tue, Mar 1, 2022 at 10:42:02.912
13	Split	00:00:00.517	00:00:09.406	Tue, Mar 1, 2022 at 10:42:03.429
14	Split	00:00:00.316	00:00:09.722	Tue, Mar 1, 2022 at 10:42:03.745
15	Split	00:00:00.181	00:00:09.903	Tue, Mar 1, 2022 at 10:42:03.926
16	Split	00:00:00.346	00:00:10.249	Tue, Mar 1, 2022 at 10:42:04.272
17	Split	00:00:00.442	00:00:10.691	Tue, Mar 1, 2022 at 10:42:04.714
18	Split	00:00:00.242	00:00:10.933	Tue, Mar 1, 2022 at 10:42:04.956
19	Split	00:00:00.663	00:00:11.596	Tue, Mar 1, 2022 at 10:42:05.619
20	Split	00:00:00.283	00:00:11.879	Tue, Mar 1, 2022 at 10:42:05.902
21	Split	00:00:00.339	00:00:12.218	Tue, Mar 1, 2022 at 10:42:06.241
22	Split	00:00:00.314	00:00:12.532	Tue, Mar 1, 2022 at 10:42:06.555
23	Split	00:00:00.449	00:00:12.981	Tue, Mar 1, 2022 at 10:42:07.004
24	Split	00:00:00.315	00:00:13.296	Tue, Mar 1, 2022 at 10:42:07.319
25	Split	00:00:00.267	00:00:13.563	Tue, Mar 1, 2022 at 10:42:07.586
26	Split	00:00:00.269	00:00:13.832	Tue, Mar 1, 2022 at 10:42:07.855
27	Split	00:00:03.694	00:00:17.526	Tue, Mar 1, 2022 at 10:42:11.549
28	Split	00:00:00.163	00:00:17.689	Tue, Mar 1, 2022 at 10:42:11.712
29	Split	00:00:00.225	00:00:17.914	Tue, Mar 1, 2022 at 10:42:11.937
30	Split	00:00:00.171	00:00:18.085	Tue, Mar 1, 2022 at 10:42:12.108
31	Split	00:00:00.268	00:00:18.353	Tue, Mar 1, 2022 at 10:42:12.376
32	Split	00:00:00.243	00:00:18.596	Tue, Mar 1, 2022 at 10:42:12.619
33	Split	00:00:00.220	00:00:18.816	Tue, Mar 1, 2022 at 10:42:12.839
34	Split	00:00:00.285	00:00:19.101	Tue, Mar 1, 2022 at 10:42:13.124
